Product Name,BrandID,BrandName,CompanyID,CompanyName,FoodTypeID,FoodTypeName
N/A,1,N/A,1,N/A,1,N/A
Rupchanda Soyabean Oil,2,Rupchanda,4,Bangladesh Edible Oil Limited,2,Soya Bean
Fortune Fortified Rice Bran Oil,3,Fortune,4,Bangladesh Edible Oil Limited,11,Rice Bran
Fortune Kachi Ghani Pure Mustard Oil,3,Fortune,4,Bangladesh Edible Oil Limited,7,Rape & Mustard
Kings Sunflower Oil,4,Kings,4,Bangladesh Edible Oil Limited,4,Sunflower
Veola Fortified Soyabean Oil,5,Veola,4,Bangladesh Edible Oil Limited,7,Soya Bean
Meizan Super Palm Oilein,6,Meizan,4,Bangladesh Edible Oil Limited,3,Palm
Fresh Fortified Soyabean Oil,7,Fresh,14,Meghna Group of Industries,2,Soya Bean
Fresh Actifit Mustard Oil,58,Fresh Actifit,14,Meghna Group of Industries,7,Rape & Mustard
Teer Fortified Soyabean Oil,8,Teer,7,City Group,2,Soya Bean
Pran Mustard Oil,11,Pran,22,PRAN,7,Rape & Mustard
ACI Pure Fortified Soyabean Oil,10,ACI Pure,23,ACI,2,Soya Bean
ACI Nutrilife Rice Bran Oil,11,ACI Nutrilife,23,ACI,11,Rice Bran
Pusti Fortified Soyabean Oil,12,Pushti,20,TK Group,2,Soya Bean
Pusti Family Fortified Palm Olein Oil,13,Pushti Family,20,TK Group,3,Palm
